,home_team,away_team,season_type,season,week,game_date,start_time,game_id,stadium,roof,surface,condition,temperature,humidity,wind
215,DEN,GB,REG,2025,15,2025-12-14,"12/14/25, 16:25:19",2025_15_GB_DEN,Empower Field at Mile High,outdoors,grass,Partly Cloudy ,65,16,NW 3
216,SEA,IND,REG,2025,15,2025-12-14,"12/14/25, 16:25:31",2025_15_IND_SEA,Lumen Field,outdoors,fieldturf,Cloudy ,51,87,S 9
217,KC,LAC,REG,2025,15,2025-12-14,"12/14/25, 13:02:30",2025_15_LAC_KC,GEHA Field at Arrowhead Stadium,outdoors,grass,,15,44,N 3
218,PHI,LV,REG,2025,15,2025-12-14,"12/14/25, 13:03:10",2025_15_LV_PHI,Lincoln Financial Field,outdoors,grass,Sunny ,30,56,NW 20
219,PIT,MIA,REG,2025,15,2025-12-15,"12/15/25, 20:15:33",2025_15_MIA_PIT,Acrisure Stadium,outdoors,grass,Cloudy ,17,71,S 7
220,DAL,MIN,REG,2025,15,2025-12-14,"12/14/25, 20:22:58",2025_15_MIN_DAL,AT&T Stadium,closed,matrixturf,None ,None,None,NE None
221,JAX,NYJ,REG,2025,15,2025-12-14,"12/14/25, 13:02:27",2025_15_NYJ_JAX,TIAA Bank Stadium,outdoors,grass,,70,60,NW 11
222,SF,TEN,REG,2025,15,2025-12-14,"12/14/25, 16:25:46",2025_15_TEN_SF,Levi's Stadium,outdoors,grass,Cloudy ,54,82,SE 4
223,NYG,WAS,REG,2025,15,2025-12-14,"12/14/25, 13:02:26",2025_15_WAS_NYG,MetLife Stadium,outdoors,fieldturf,Overcast ,27,69,NW 13
224,ARI,ATL,REG,2025,16,2025-12-21,"12/21/25, 16:05:23",2025_16_ATL_ARI,State Farm Stadium,closed,grass,Sunny ,76,23,NW 1
225,CLE,BUF,REG,2025,16,2025-12-21,"12/21/25, 13:02:21",2025_16_BUF_CLE,FirstEnergy Stadium,outdoors,grass,Sunny ,25,68,NW 16
226,MIA,CIN,REG,2025,16,2025-12-21,"12/21/25, 13:02:42",2025_16_CIN_MIA,Hard Rock Stadium,outdoors,grass,Partly Cloudy ,81,64,E 7
227,CHI,GB,REG,2025,16,2025-12-20,"12/20/25, 20:20:19",2025_16_GB_CHI,Soldier Field,outdoors,grass,Clear ,37,48,SW 6
228,DEN,JAX,REG,2025,16,2025-12-21,"12/21/25, 16:05:16",2025_16_JAX_DEN,Empower Field at Mile High,outdoors,grass,Partly Cloudy ,62,26,NW 3
229,TEN,KC,REG,2025,16,2025-12-21,"12/21/25, 13:02:33",2025_16_KC_TEN,Nissan Stadium,outdoors,grass,Sunny ,51,27,NE 8
230,DAL,LAC,REG,2025,16,2025-12-21,"12/21/25, 13:02:47",2025_16_LAC_DAL,AT&T Stadium,closed,matrixturf,None ,None,None,NE None
231,SEA,LA,REG,2025,16,2025-12-18,"12/18/25, 20:15:57",2025_16_LA_SEA,Lumen Field,outdoors,fieldturf,Rain ,51,91,SW 17
232,HOU,LV,REG,2025,16,2025-12-21,"12/21/25, 16:25:38",2025_16_LV_HOU,NRG Stadium,closed,astroturf,,81,66,W 3
233,NYG,MIN,REG,2025,16,2025-12-21,"12/21/25, 13:02:46",2025_16_MIN_NYG,MetLife Stadium,outdoors,fieldturf,Fair ,46,37,NW 20
234,BAL,NE,REG,2025,16,2025-12-21,"12/21/25, 20:22:25",2025_16_NE_BAL,M&T Bank Stadium,outdoors,grass,Clear ,40,36,NW 2
